,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome
0,40030.0,New York Mets,1,7,3,2016-04-03,on grass,Night Game,Kansas City Royals,0,9,4,7:38 p.m. Local,Kauffman Stadium,Sunday,74.0,14.0, from Right to Left,Sunny,7,3.216666666666667,regular season,1,0,Win
1,21621.0,Philadelphia Phillies,0,5,2,2016-04-06,on grass,Night Game,Cincinnati Reds,0,8,3,7:11 p.m. Local,Great American Ball Park,Wednesday,55.0,24.0, from Right to Left,Overcast,5,2.3833333333333333,regular season,1,0,Win
2,12622.0,Minnesota Twins,0,5,2,2016-04-06,on grass,Night Game,Baltimore Orioles,0,9,4,7:07 p.m. Local,Oriole Park at Camden Yards,Wednesday,48.0,7.0, out to Leftfield,Unknown,6,3.183333333333333,regular season,1,0,Win
3,18531.0,Washington Nationals,0,8,3,2016-04-06,on grass,Night Game,Atlanta Braves,1,8,1,7:10 p.m. Local,Turner Field,Wednesday,65.0,10.0, from Right to Left,Cloudy,4,2.8833333333333333,regular season,0,1,Loss
4,18572.0,Colorado Rockies,1,8,4,2016-04-06,on grass,Day Game,Arizona Diamondbacks,0,8,3,12:40 p.m. Local,Chase Field,Wednesday,77.0,0.0, in unknown direction,In Dome,7,2.65,regular season,0,1,Loss
5,28386.0,Seattle Mariners,1,11,10,2016-04-05,on grass,Night Game,Texas Rangers,1,7,2,7:07 p.m. Local,Globe Life Park in Arlington,Tuesday,81.0,12.0, from Right to Left,Cloudy,12,3.5,regular season,0,1,Loss
6,12757.0,Toronto Blue Jays,0,9,2,2016-04-05,on turf,Night Game,Tampa Bay Rays,1,7,3,7:10 p.m. Local,Tropicana Field,Tuesday,72.0,0.0, in unknown direction,In Dome,5,3.1166666666666667,regular season,1,0,Win
7,28329.0,Los Angeles Dodgers,0,6,3,2016-04-05,on grass,Night Game,San Diego Padres,1,2,0,7:11 p.m. Local,Petco Park,Tuesday,70.0,6.0, from Left to Right,Unknown,3,2.6,regular season,0,1,Loss
8,26049.0,St. Louis Cardinals,1,8,5,2016-04-05,on grass,Night Game,Pittsburgh Pirates,2,12,6,7:08 p.m. Local,PNC Park,Tuesday,40.0,7.0, out to Leftfield,Sunny,11,3.45,regular season,1,0,Win
9,10478.0,Chicago White Sox,0,11,5,2016-04-05,on grass,Night Game,Oakland Athletics,0,10,4,7:08 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,70.0,8.0, out to Rightfield,Cloudy,9,3.466666666666667,regular season,0,1,Loss
